zero_crossing_rate,RMS_energy,mean_Chromagram,spectral_flatness
1.282888177929234208e-01,2.315323054790496826e-01,4.787251949310302734e-01,9.831299073994159698e-03
1.260732369006187237e-01,1.004830226302146912e-01,4.655371010303497314e-01,8.827870711684226990e-03
1.981458907337587116e-01,1.382115483283996582e-01,4.846100211143493652e-01,1.326524838805198669e-02
1.282435016676334028e-01,1.650902032852172852e-01,4.747161269187927246e-01,1.365617942065000534e-02
1.798887791231631728e-01,1.441461592912673950e-01,4.810055792331695557e-01,2.285396493971347809e-02
1.632804192043696700e-01,8.902858942747116089e-02,4.409674704074859619e-01,1.954103261232376099e-02
5.118078717130703642e-02,2.303411513566970825e-01,4.625312983989715576e-01,2.182658063247799873e-03
1.251472774071925864e-01,2.205635011196136475e-01,4.462625384330749512e-01,1.634679734706878662e-02
1.481127344354215003e-01,1.365538239479064941e-01,4.365011453628540039e-01,1.246512401849031448e-02
9.999833840873936786e-02,2.568500638008117676e-01,4.802482426166534424e-01,7.652744650840759277e-03
1.608273062886697580e-01,9.051078557968139648e-02,4.069330096244812012e-01,1.773143373429775238e-02
1.627532416134957471e-01,2.708441317081451416e-01,5.013971328735351562e-01,1.882188953459262848e-02
1.604334336330239807e-01,1.122196242213249207e-01,5.190620422363281250e-01,2.038730867207050323e-02
1.236008646316705401e-01,1.120336204767227173e-01,3.958281576633453369e-01,1.013810094445943832e-02
1.482577460363495858e-01,1.459657251834869385e-01,4.703927040100097656e-01,1.040828414261341095e-02
8.823464991782675737e-02,1.543120890855789185e-01,3.792093992233276367e-01,4.698312841355800629e-03
1.665242985063805081e-01,1.046234518289566040e-01,5.092686414718627930e-01,2.191973105072975159e-02
1.373478888727764913e-01,9.760946035385131836e-02,4.561342298984527588e-01,9.829941205680370331e-03
1.518611332656612523e-01,9.366292506456375122e-02,4.366719424724578857e-01,1.266953907907009125e-02
1.772645978344934148e-01,9.049835801124572754e-02,4.382746517658233643e-01,1.887521706521511078e-02
1.712058318832173354e-01,9.543592482805252075e-02,4.696050882339477539e-01,2.002529427409172058e-02
1.443216629205336388e-01,8.806443959474563599e-02,4.302144348621368408e-01,1.108995545655488968e-02
1.636799563756767273e-01,2.124964147806167603e-01,4.824357032775878906e-01,2.096594125032424927e-02
1.781082330336427044e-01,2.175908237695693970e-01,4.310552775859832764e-01,2.636589482426643372e-02
1.765742821925753991e-01,2.245118319988250732e-01,4.770068824291229248e-01,2.578060887753963470e-02
1.939877586040216484e-01,2.176125645637512207e-01,5.244612097740173340e-01,2.750241756439208984e-02
1.774496386794277014e-01,2.490736395120620728e-01,5.023053884506225586e-01,3.305258974432945251e-02
2.283804318928847610e-01,2.262727767229080200e-01,5.167287588119506836e-01,4.840166494250297546e-02
1.621916992942768754e-01,2.399416863918304443e-01,5.337420105934143066e-01,3.436207398772239685e-02
1.725668261794277014e-01,2.274986058473587036e-01,4.928274750709533691e-01,2.722461894154548645e-02
1.957180793213457171e-01,2.071897685527801514e-01,5.104593038558959961e-01,3.515691682696342468e-02
1.968404086910286177e-01,2.325936704874038696e-01,4.993704855442047119e-01,3.511887416243553162e-02
1.793064669131863853e-01,2.429381459951400757e-01,4.635229110717773438e-01,3.217933326959609985e-02
1.437182031854215003e-01,2.071970850229263306e-01,4.875595271587371826e-01,2.101832255721092224e-02
1.428334058391337869e-01,1.845526844263076782e-01,4.615265727043151855e-01,1.439876388758420944e-02
1.498219076276102180e-01,1.823669821023941040e-01,4.676295816898345947e-01,1.315446849912405014e-02
1.394849218145784997e-01,1.257605850696563721e-01,5.403491258621215820e-01,1.115520857274532318e-02
1.665242985063805081e-01,1.046234518289566040e-01,5.092686414718627930e-01,2.191973105072975159e-02
1.373478888727764913e-01,9.760946035385131836e-02,4.561342298984527588e-01,9.829941205680370331e-03
1.518611332656612523e-01,9.366292506456375122e-02,4.366719424724578857e-01,1.266953907907009125e-02
1.772645978344934148e-01,9.049835801124572754e-02,4.382746517658233643e-01,1.887521706521511078e-02
1.712058318832173354e-01,9.543592482805252075e-02,4.696050882339477539e-01,2.002529427409172058e-02
1.443216629205336388e-01,8.806443959474563599e-02,4.302144348621368408e-01,1.108995545655488968e-02
1.201160545968677495e-01,1.362957805395126343e-01,4.691706299781799316e-01,9.063462726771831512e-03
1.307011461958623444e-01,9.837739914655685425e-02,4.630442559719085693e-01,1.155179925262928009e-02
5.375889706593194040e-02,1.736667007207870483e-01,4.541178047657012939e-01,2.545161871239542961e-03
1.428466230423433847e-01,4.884930327534675598e-02,4.147362112998962402e-01,1.744142919778823853e-02
1.537296681651198760e-01,1.153501942753791809e-01,4.800001680850982666e-01,2.107613719999790192e-02
1.167702140129543709e-01,1.944085806608200073e-01,4.451933503150939941e-01,9.799980558454990387e-03
1.212886093387471054e-01,2.935759425163269043e-01,4.300241172313690186e-01,2.126539871096611023e-02
1.349835200357695220e-01,4.085097834467887878e-02,4.834923446178436279e-01,1.488912198692560196e-02
8.885850190931941783e-02,2.447736859321594238e-01,4.484459757804870605e-01,1.123084966093301773e-02
1.624915409899458651e-01,9.693776816129684448e-02,4.960103929042816162e-01,1.563332229852676392e-02
1.599187179766047850e-01,1.491502523422241211e-01,4.408455491065979004e-01,1.678742282092571259e-02
1.317906213747099819e-01,2.696712017059326172e-01,5.337368845939636230e-01,3.179452568292617798e-02
1.438552844644238327e-01,1.274256110191345215e-01,4.724055528640747070e-01,1.367319189012050629e-02
1.440546754156999121e-01,1.399349868297576904e-01,4.970466494560241699e-01,1.645997352898120880e-02
1.219354970272621824e-01,1.904101967811584473e-01,5.177816748619079590e-01,8.252932690083980560e-03
1.412658455384764034e-01,1.316424757242202759e-01,5.132454037666320801e-01,1.231076754629611969e-02
1.228716526488785737e-01,2.087118625640869141e-01,4.575085043907165527e-01,1.088482234627008438e-02
1.385170449052590957e-01,2.298491001129150391e-01,4.805833697319030762e-01,2.582791447639465332e-02
1.577129555781129067e-01,1.519908308982849121e-01,4.412084221839904785e-01,1.469342317432165146e-02
1.590101296645398399e-01,8.830418437719345093e-02,4.344843924045562744e-01,1.675379090011119843e-02
1.867394443638824564e-01,2.673795223236083984e-01,5.165466070175170898e-01,4.964918643236160278e-02
9.239202677880897774e-02,1.333611309528350830e-01,4.214829504489898682e-01,4.976175259798765182e-03
4.653777250096674534e-02,2.661418318748474121e-01,4.557159245014190674e-01,1.289376639761030674e-03
8.463503903228924985e-02,1.466410607099533081e-01,4.269870221614837646e-01,4.809458274394273758e-03
1.200435487964037068e-01,1.160408630967140198e-01,3.801200389862060547e-01,6.996416021138429642e-03
9.328588735015468092e-02,1.663338690996170044e-01,3.419083952903747559e-01,6.386397872120141983e-03
1.416087375531709103e-01,9.202369302511215210e-02,4.444195032119750977e-01,1.404510904103517532e-02
1.608273062886697580e-01,9.051078557968139648e-02,4.069330096244812012e-01,1.773143373429775238e-02
1.211167856970224305e-01,1.854469627141952515e-01,5.291817188262939453e-01,1.547778118401765823e-02
1.281732616734338748e-01,1.882441043853759766e-01,5.183818936347961426e-01,1.429715193808078766e-02
8.622601266434648526e-02,1.860910356044769287e-01,4.919320046901702881e-01,7.059948518872261047e-03
1.156973547467130686e-01,1.390117257833480835e-01,5.098984837532043457e-01,1.135505735874176025e-02
1.079656685034802721e-01,1.701881736516952515e-01,5.163367390632629395e-01,1.213021576404571533e-02
