zero_crossing_rate,RMS_energy,mean_Chromagram,spectral_flatness
9.586928412606342265e-02,1.192288845777511597e-01,2.661226093769073486e-01,1.795865595340728760e-02
1.078452031370843028e-01,6.985007226467132568e-02,3.383476138114929199e-01,2.189202047884464264e-02
1.403485716357308621e-01,7.574117928743362427e-02,3.706232905387878418e-01,5.064588040113449097e-02
1.001274893658159332e-01,4.324828833341598511e-02,4.417487084865570068e-01,3.314092010259628296e-02
2.066977988447409043e-01,4.783738404512405396e-02,4.014523327350616455e-01,1.071603745222091675e-01
1.496451747389791198e-01,7.434421777725219727e-02,4.293185174465179443e-01,6.236157193779945374e-02
1.183124728103248230e-01,5.170015990734100342e-02,3.929894566535949707e-01,4.273864626884460449e-02
1.475591224381283817e-01,7.143145054578781128e-02,3.253361582756042480e-01,4.432637244462966919e-02
2.616371809744779675e-01,5.242242664098739624e-02,3.374767303466796875e-01,8.190598338842391968e-02
4.283468979601701143e-02,4.581201076507568359e-02,3.424496650695800781e-01,8.290909230709075928e-03
6.902703257927300662e-02,9.159285575151443481e-02,2.909663319587707520e-01,1.279466878622770309e-02
6.275188212973704938e-02,4.505297169089317322e-02,2.804654538631439209e-01,3.575519658625125885e-03
5.414181832463263455e-02,6.138108298182487488e-02,2.700247466564178467e-01,9.084508754312992096e-03
1.514797225444702300e-01,4.092894122004508972e-02,2.310152649879455566e-01,8.848619647324085236e-03
7.547665011117556111e-02,5.356717854738235474e-02,2.701715826988220215e-01,7.139634341001510620e-03
8.172045690738592716e-02,4.530353844165802002e-02,2.694237232208251953e-01,1.199065707623958588e-02
4.150088517498066315e-02,3.979180008172988892e-02,2.373483777046203613e-01,8.785708923824131489e-04
6.336251691802011199e-02,6.818181276321411133e-02,3.112347424030303955e-01,2.573176054283976555e-03
7.771677723801237447e-02,4.441989958286285400e-02,2.987700402736663818e-01,2.874974161386489868e-03
3.990764573665893378e-02,2.118668705224990845e-02,2.240491360425949097e-01,1.074327388778328896e-03
5.813114788766434587e-02,6.016151234507560730e-02,3.275933563709259033e-01,3.413414349779486656e-03
4.617901984242072516e-02,3.926887735724449158e-02,2.959117889404296875e-01,1.661134534515440464e-03
